Topic,Subtopic,ShortQuestionText,Greater_Risk_Question,Description,Data_Value_Symbol,Data_Value_Type,Greater_Risk_Data_Value,Greater_Risk_Low_Confidence_Limit,Greater_Risk_High_Confidence_Limit,Lesser_Risk_Question,Lesser_Risk_Data_Value,Lesser_Risk_Data_Value_Footnote_Symbol,Lesser_Risk_Data_Value_Footnote,Lesser_Risk_Low_Confidence_Limit,Lesser_Risk_High_Confidence_Limit,Sample_Size,Sex,Race,Grade,SexualIdentity,SexOfSexualContacts
Unintentional Injuries and Violence,Suicide-Related Behaviors,Attempted suicide,Attempted suicide,one or more times during the 12 months before the survey,%,Percentage,4.292,1.1849,14.3618,Did not attempt suicide,95.708,,,85.6382,98.8151,45,Female,Hispanic or Latino,12th,Heterosexual (straight),Total
Tobacco Use,Cigarette Use,Current cigarette use,Currently smoked cigarettes,on at least 1 day during the 30 days before the survey,%,Percentage,4.3006,2.0978,8.6129,Did not currently smoke cigarettes,95.6994,,,91.3871,97.9022,158,Male,Total,12th,Total,Total
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Safety concerns at school,Did not go to school because they felt unsafe at school or on their way to or from school,on at least 1 day during the 30 days before the survey,%,Percentage,4.3205,1.7831,10.0975,NULL,95.6795,,,89.9025,98.2169,97,Male,Total,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Weapon carrying at school,Carried a weapon on school property,"such as a gun, knife, or club, on at least 1 day during the 30 days before the survey",%,Percentage,4.3249,2.4096,7.6431,Did not carry a weapon on school property,95.6751,,,92.3569,97.5904,170,Male,Total,12th,Total,Total
Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,4.3379,1.8526,9.8234,Did not currently smoke cigars,95.6621,,,90.1766,98.1474,143,Female,Total,12th,Heterosexual (straight),Total
Tobacco Use,Other Tobacco Use,Current cigar use,Currently smoked cigars,"cigars, cigarillos, or little cigars, on at least 1 day during the 30 days before the survey",%,Percentage,4.3494,2.4303,7.6651,Did not currently smoke cigars,95.6506,,,92.3349,97.5697,362,Total,Total,12th,Total,Total
Tobacco Use,Cigarette Use,Frequent cigarette use,Currently frequently smoked cigarettes,on 20 or more days during the 30 days before the survey,%,Percentage,4.3889,0.8796,19.189,Did not currently frequently smoke cigarettes,95.6111,,,80.811,99.1204,36,Total,White,12th,Heterosexual (straight),Total
Alcohol and Other Drug Use,Other Drug Use,Ever synthetic marijuana use,Ever used synthetic marijuana,"also called ""K2,"" ""Spice,"" ""fake weed,"" ""King Kong,"" ""Yucatan Fire,"" ""Skunk,"" or ""Moon Rocks,"" one or more times during their life",%,Percentage,4.3901,2.2699,8.322,Never used synthetic marijuana,95.6099,,,91.678,97.7301,176,Female,Total,12th,Total,Total
Dietary Behaviors,Soda or pop,Soda drinking >= 2 times,"Drank a can, bottle, or glass of soda or pop two or more times per day","such as Coke, Pepsi, or Sprite, not counting diet soda or diet pop, during the 7 days before the survey",%,Percentage,4.3968,0.9999,17.3151,NULL,95.6032,,,82.6849,99.0001,52,Female,Hispanic or Latino,12th,Heterosexual (straight),Total
Dietary Behaviors,Soda or pop,Soda drinking >= 3 times,"Drank a can, bottle, or glass of soda or pop three or more times per day","such as Coke, Pepsi, or Sprite, not counting diet soda or diet pop, during the 7 days before the survey",%,Percentage,4.3973,1.0465,16.6701,NULL,95.6027,,,83.3299,98.9535,38,Male,Hispanic or Latino,12th,Heterosexual (straight),Total
Physical Activity,Physical Activity,Concussion,Had a concussion from playing a sport or being physically active one or more times,during the 12 months before the survey,%,Percentage,4.405,1.0499,16.6742,Did not have a concussion from playing a sport or being physically active,95.595,,,83.3258,98.9501,42,Female,Hispanic or Latino,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Suicide-Related Behaviors,Attempted suicide,Attempted suicide,one or more times during the 12 months before the survey,%,Percentage,4.4056,1.0597,16.5478,Did not attempt suicide,95.5944,,,83.4522,98.9403,39,Male,Black or African American,12th,Heterosexual (straight),Total
Alcohol and Other Drug Use,Other Drug Use,Initiation of marijuana use,Tried marijuana for the first time before age 13 years,"also called grass, pot, or weed",%,Percentage,4.4098,1.7271,10.8015,Did not try marijuana for the first time before age 13 years,95.5902,,,89.1985,98.2729,96,Male,Total,12th,Total,Opposite sex only
Dietary Behaviors,Soda or pop,Soda drinking >= 3 times,"Drank a can, bottle, or glass of soda or pop three or more times per day","such as Coke, Pepsi, or Sprite, not counting diet soda or diet pop, during the 7 days before the survey",%,Percentage,4.4163,1.2855,14.0834,NULL,95.5837,,,85.9166,98.7145,46,Male,Total,12th,Total,No sexual contact
Dietary Behaviors,Soda or pop,Soda drinking >= 2 times,"Drank a can, bottle, or glass of soda or pop two or more times per day","such as Coke, Pepsi, or Sprite, not counting diet soda or diet pop, during the 7 days before the survey",%,Percentage,4.4163,1.2855,14.0834,NULL,95.5837,,,85.9166,98.7145,46,Male,Total,12th,Total,No sexual contact
Dietary Behaviors,Soda or pop,Soda drinking >= 1 times,"Drank a can, bottle, or glass of soda or pop one or more times per day","such as Coke, Pepsi, or Sprite, not counting diet soda or diet pop, during the 7 days before the survey",%,Percentage,4.4163,1.2855,14.0834,NULL,95.5837,,,85.9166,98.7145,46,Male,Total,12th,Total,No sexual contact
Alcohol and Other Drug Use,Other Drug Use,Ever synthetic marijuana use,Ever used synthetic marijuana,"also called ""K2,"" ""Spice,"" ""fake weed,"" ""King Kong,"" ""Yucatan Fire,"" ""Skunk,"" or ""Moon Rocks,"" one or more times during their life",%,Percentage,4.4235,1.4156,12.9809,Never used synthetic marijuana,95.5765,,,87.0191,98.5844,95,Total,Hispanic or Latino,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Electronic bullying,Were electronically bullied,"counting being bullied through texting, Instagram, Facebook, or other social media, during the 12 months before the survey",%,Percentage,4.4236,1.0423,16.9008,Were not electronically bullied,95.5764,,,83.0992,98.9577,32,Total,Total,12th,"Gay, lesbian, or bisexual",Total
Unintentional Injuries and Violence,Suicide-Related Behaviors,Attempted suicide,Attempted suicide,one or more times during the 12 months before the survey,%,Percentage,4.4274,1.7755,10.6121,Did not attempt suicide,95.5726,,,89.3879,98.2245,121,Male,Total,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Suicide-Related Behaviors,Attempted suicide,Attempted suicide,one or more times during the 12 months before the survey,%,Percentage,4.4414,1.5422,12.1198,Did not attempt suicide,95.5586,,,87.8802,98.4578,125,Female,Total,12th,Heterosexual (straight),Total
Dietary Behaviors,Fruit and fruit juices,No fruit consumption,Did not eat fruit or drink 100% fruit juices,"such as orange juice, apple juice, or grape juice, not counting punch, Kool-Aid, sports drinks, or other fruit-flavored drinks, during the 7 days before the survey",%,Percentage,4.4553,1.0979,16.3789,Ate fruit or drank 100% fruit juices,95.5447,,,83.6211,98.9021,48,Female,Black or African American,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Physical fighting at school,Were in a physical fight on school property,one or more times during the 12 months before the survey,%,Percentage,4.4592,2.0033,9.6299,Were not in a physical fight on school property,95.5408,,,90.3701,97.9967,169,Male,Total,12th,Total,Total
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Physical dating violence,Experienced physical dating violence,"being physically hurt on purpose (counting such things as being hit, slammed into something, or injured with an object or weapon) by someone they were dating or going out with, one or more times during the 12 months before the survey, among students who da",%,Percentage,4.4616,1.5384,12.2488,Did not experience physical dating violence,95.5384,,,87.7512,98.4616,39,Female,Hispanic or Latino,12th,Heterosexual (straight),Total
Tobacco Use,Other Tobacco Use,Current electronic vapor product use,Currently used an electronic vapor product,"including e-cigarettes, e-cigars, e-pipes, vape pipes, vaping pens, e-hookahs, and hookah pens, on at least 1 day during the 30 days before the survey",%,Percentage,4.4626,1.3185,14.0371,Did not currently use an electronic vapor product,95.5374,,,85.9629,98.6815,62,Total,Black or African American,12th,Total,Opposite sex only
Tobacco Use,Other Tobacco Use,Current cigarette or cigar use,Currently smoked cigarettes or cigars,on at least 1 day during the 30 days before the survey,%,Percentage,4.4669,2.4837,7.9052,NULL,95.5331,,,92.0948,97.5163,300,Total,Total,12th,Heterosexual (straight),Total
Dietary Behaviors,Soda or pop,Soda drinking >= 3 times,"Drank a can, bottle, or glass of soda or pop three or more times per day","such as Coke, Pepsi, or Sprite, not counting diet soda or diet pop, during the 7 days before the survey",%,Percentage,4.4721,2.3908,8.2128,NULL,95.5279,,,91.7872,97.6092,292,Total,Total,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Sexual dating violence,Experienced sexual dating violence,"being forced to do sexual things (counting such things as kissing, touching, or being physically forced to have sexual intercourse) they did not want to do by someone they were dating or going out with, one or more times during the 12 months before the sur",%,Percentage,4.4726,1.4959,12.6142,Did not experience sexual dating violence,95.5274,,,87.3858,98.5041,87,Male,Total,12th,Heterosexual (straight),Total
Alcohol and Other Drug Use,Other Drug Use,Ever inhalant use,Ever used inhalants,"sniffed glue, breathed the contents of aerosol spray cans, or inhaled any paints or sprays to get high, one or more times during their life",%,Percentage,4.4841,2.6569,7.4712,Never used inhalants,95.5159,,,92.5288,97.3431,345,Total,Total,12th,Total,Total
Dietary Behaviors,Fruit and fruit juices,No fruit consumption,Did not eat fruit or drink 100% fruit juices,"such as orange juice, apple juice, or grape juice, not counting punch, Kool-Aid, sports drinks, or other fruit-flavored drinks, during the 7 days before the survey",%,Percentage,4.4878,2.4593,8.0516,Ate fruit or drank 100% fruit juices,95.5122,,,91.9484,97.5407,193,Female,Total,12th,Total,Total
Alcohol and Other Drug Use,Other Drug Use,Initiation of marijuana use,Tried marijuana for the first time before age 13 years,"also called grass, pot, or weed",%,Percentage,4.4932,1.0057,17.8893,Did not try marijuana for the first time before age 13 years,95.5068,,,82.1107,98.9943,51,Female,Hispanic or Latino,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Bullying at school,Were bullied on school property,during the 12 months before the survey,%,Percentage,4.505,1.6244,11.8768,Were not bullied on school property,95.495,,,88.1232,98.3756,99,Male,Total,12th,Total,Opposite sex only
Tobacco Use,Other Tobacco Use,Current smokeless tobacco use,Currently used smokeless tobacco,"chewing tobacco, snuff, dip, snus, or dissolvable tobacco products, such as Redman, Levi Garrett, Beechnut, Skoal, Skoal Bandits, Copenhagen, Camel Snus, Marlboro Snus, General Snus, Ariva, Stonewall, or Camel Orbs, not counting any electronic vapor produc",%,Percentage,4.5113,1.6172,11.9552,Did not currently use smokeless tobacco,95.4887,,,88.0448,98.3828,160,Male,Total,12th,Total,Total
Tobacco Use,Other Tobacco Use,Current tobacco use,Currently smoked cigarettes or cigars or used smokeless tobacco or an electronic vapor product,on at least 1 day during the 30 days before the survey,%,Percentage,4.517,1.9979,9.8918,NULL,95.483,,,90.1082,98.0021,105,Total,Total,12th,Total,No sexual contact
Dietary Behaviors,Vegetables,No vegetable eating,Did not eat vegetables,"green salad, potatoes (not counting French fries, fried potatoes, or potato chips), carrots, or other vegetables, during the 7 days before the survey",%,Percentage,4.5239,2.1944,9.0964,Ate vegetables,95.4761,,,90.9036,97.8056,193,Total,Total,12th,Total,Opposite sex only
Alcohol and Other Drug Use,Other Drug Use,Ever methamphetamine use,Ever used methamphetamines,"also called ""speed,"" ""crystal,"" ""crank,"" or ""ice,"" one or more times during their life",%,Percentage,4.527,1.0427,17.5849,Never used methamphetamines,95.473,,,82.4151,98.9573,33,Total,Total,12th,"Gay, lesbian, or bisexual",Total
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Safety concerns at school,Did not go to school because they felt unsafe at school or on their way to or from school,on at least 1 day during the 30 days before the survey,%,Percentage,4.5323,1.9729,10.071,NULL,95.4677,,,89.929,98.0271,125,Total,Hispanic or Latino,12th,Total,Total
Dietary Behaviors,Soda or pop,Soda drinking >= 3 times,"Drank a can, bottle, or glass of soda or pop three or more times per day","such as Coke, Pepsi, or Sprite, not counting diet soda or diet pop, during the 7 days before the survey",%,Percentage,4.5337,1.2435,15.1905,NULL,95.4663,,,84.8095,98.7565,42,Female,Hispanic or Latino,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Physical fighting at school,Were in a physical fight on school property,one or more times during the 12 months before the survey,%,Percentage,4.5356,1.2472,15.1627,Were not in a physical fight on school property,95.4644,,,84.8373,98.7528,97,Total,Total,12th,Total,No sexual contact
Tobacco Use,Other Tobacco Use,Current tobacco use,Currently smoked cigarettes or cigars or used smokeless tobacco or an electronic vapor product,on at least 1 day during the 30 days before the survey,%,Percentage,4.5368,1.8363,10.7729,NULL,95.4632,,,89.2271,98.1637,93,Female,Total,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Physical fighting at school,Were in a physical fight on school property,one or more times during the 12 months before the survey,%,Percentage,4.5453,1.5284,12.7466,Were not in a physical fight on school property,95.4547,,,87.2534,98.4716,74,Total,Hispanic or Latino,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Weapon carrying at school,Carried a weapon on school property,"such as a gun, knife, or club, on at least 1 day during the 30 days before the survey",%,Percentage,4.5454,2.686,7.5914,Did not carry a weapon on school property,95.4546,,,92.4086,97.314,95,Male,Total,12th,Total,Opposite sex only
Alcohol and Other Drug Use,Other Drug Use,Initiation of marijuana use,Tried marijuana for the first time before age 13 years,"also called grass, pot, or weed",%,Percentage,4.5481,1.7939,11.055,Did not try marijuana for the first time before age 13 years,95.4519,,,88.945,98.2061,168,Male,Total,12th,Total,Total
Alcohol and Other Drug Use,Other Drug Use,Initiation of marijuana use,Tried marijuana for the first time before age 13 years,"also called grass, pot, or weed",%,Percentage,4.5533,2.1514,9.3794,Did not try marijuana for the first time before age 13 years,95.4467,,,90.6206,97.8486,188,Total,Total,12th,Total,Opposite sex only
Dietary Behaviors,Fruit and fruit juices,No fruit consumption,Did not eat fruit or drink 100% fruit juices,"such as orange juice, apple juice, or grape juice, not counting punch, Kool-Aid, sports drinks, or other fruit-flavored drinks, during the 7 days before the survey",%,Percentage,4.5585,1.2878,14.8828,Ate fruit or drank 100% fruit juices,95.4415,,,85.1172,98.7122,95,Male,Total,12th,Total,Opposite sex only
Tobacco Use,Other Tobacco Use,"Current cigarette, cigar, or smokeless tobacco use",Currently smoked cigarettes or cigars or used smokeless tobacco,on at least 1 day during the 30 days before the survey,%,Percentage,4.5647,1.9357,10.3856,NULL,95.4353,,,89.6144,98.0643,121,Total,Black or African American,12th,Total,Total
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Sexual dating violence,Experienced sexual dating violence,"being forced to do sexual things (counting such things as kissing, touching, or being physically forced to have sexual intercourse) they did not want to do by someone they were dating or going out with, one or more times during the 12 months before the sur",%,Percentage,4.5785,1.5954,12.4342,Did not experience sexual dating violence,95.4215,,,87.5658,98.4046,38,Female,Hispanic or Latino,12th,Heterosexual (straight),Total
Alcohol and Other Drug Use,Other Drug Use,Initiation of marijuana use,Tried marijuana for the first time before age 13 years,"also called grass, pot, or weed",%,Percentage,4.5834,2.4966,8.2664,Did not try marijuana for the first time before age 13 years,95.4166,,,91.7336,97.5034,195,Total,Total,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Suicide-Related Behaviors,Suicide plan,Made a plan about how they would attempt suicide,during the 12 months before the survey,%,Percentage,4.5842,0.6205,26.99,Did not make a plan about how they would attempt suicide,95.4158,,,73.01,99.3795,31,Male,Hispanic or Latino,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Suicide-Related Behaviors,Considered suicide,Seriously considered attempting suicide,during the 12 months before the survey,%,Percentage,4.5842,1.0313,18.1341,Did not seriously consider attempting suicide,95.4158,,,81.8659,98.9687,31,Male,Hispanic or Latino,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Suicide-Related Behaviors,Considered suicide,Seriously considered attempting suicide,during the 12 months before the survey,%,Percentage,4.5858,1.2091,15.8765,Did not seriously consider attempting suicide,95.4142,,,84.1235,98.7909,40,Male,Total,12th,Total,No sexual contact
Tobacco Use,Other Tobacco Use,Current cigarette or cigar use,Currently smoked cigarettes or cigars,on at least 1 day during the 30 days before the survey,%,Percentage,4.5883,1.4295,13.7535,NULL,95.4117,,,86.2465,98.5705,53,Female,Hispanic or Latino,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Safety concerns at school,Did not go to school because they felt unsafe at school or on their way to or from school,on at least 1 day during the 30 days before the survey,%,Percentage,4.5972,1.4253,13.8364,NULL,95.4028,,,86.1636,98.5747,67,Female,Total,12th,Total,No sexual contact
Tobacco Use,Other Tobacco Use,Current electronic vapor product use,Currently used an electronic vapor product,"including e-cigarettes, e-cigars, e-pipes, vape pipes, vaping pens, e-hookahs, and hookah pens, on at least 1 day during the 30 days before the survey",%,Percentage,4.5991,2.355,8.7888,Did not currently use an electronic vapor product,95.4009,,,91.2112,97.645,297,Total,Total,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Forced sexual intercourse,Were ever physically forced to have sexual intercourse,when they did not want to,%,Percentage,4.6028,1.5184,13.1176,Were never physically forced to have sexual intercourse,95.3972,,,86.8824,98.4816,106,Total,Hispanic or Latino,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Threatened at school,Were threatened or injured with a weapon on school property,"such as a gun, knife, or club, one or more times during the 12 months before the survey",%,Percentage,4.6098,0.6606,25.9898,Were not threatened or injured with a weapon on school property,95.3902,,,74.0102,99.3394,31,Male,Black or African American,12th,Total,Opposite sex only
Dietary Behaviors,Fruit and fruit juices,No fruit consumption,Did not eat fruit or drink 100% fruit juices,"such as orange juice, apple juice, or grape juice, not counting punch, Kool-Aid, sports drinks, or other fruit-flavored drinks, during the 7 days before the survey",%,Percentage,4.6128,1.6247,12.4034,Ate fruit or drank 100% fruit juices,95.3872,,,87.5966,98.3753,65,Female,Total,12th,Total,No sexual contact
Dietary Behaviors,Soda or pop,Soda drinking >= 3 times,"Drank a can, bottle, or glass of soda or pop three or more times per day","such as Coke, Pepsi, or Sprite, not counting diet soda or diet pop, during the 7 days before the survey",%,Percentage,4.6201,2.3287,8.9592,NULL,95.3799,,,91.0408,97.6713,195,Total,Total,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Threatened at school,Were threatened or injured with a weapon on school property,"such as a gun, knife, or club, one or more times during the 12 months before the survey",%,Percentage,4.6245,1.5479,13.0084,Were not threatened or injured with a weapon on school property,95.3755,,,86.9916,98.4521,99,Total,Hispanic or Latino,12th,Heterosexual (straight),Total
Alcohol and Other Drug Use,Other Drug Use,Ever synthetic marijuana use,Ever used synthetic marijuana,"also called ""K2,"" ""Spice,"" ""fake weed,"" ""King Kong,"" ""Yucatan Fire,"" ""Skunk,"" or ""Moon Rocks,"" one or more times during their life",%,Percentage,4.633,2.5261,8.3466,Never used synthetic marijuana,95.367,,,91.6534,97.4739,189,Total,Total,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Threatened at school,Were threatened or injured with a weapon on school property,"such as a gun, knife, or club, one or more times during the 12 months before the survey",%,Percentage,4.6384,1.2627,15.6118,Were not threatened or injured with a weapon on school property,95.3616,,,84.3882,98.7373,39,Male,Hispanic or Latino,12th,Total,Opposite sex only
Alcohol and Other Drug Use,Other Drug Use,Current marijuana use,Currently used marijuana,"also called grass, pot, or weed, one or more times during the 30 days before the survey",%,Percentage,4.6401,2.4913,8.4809,Did not currently use marijuana,95.3599,,,91.5191,97.5087,97,Total,Total,12th,Total,No sexual contact
Alcohol and Other Drug Use,Other Drug Use,Initiation of marijuana use,Tried marijuana for the first time before age 13 years,"also called grass, pot, or weed",%,Percentage,4.6505,1.8369,11.278,Did not try marijuana for the first time before age 13 years,95.3495,,,88.722,98.1631,153,Male,Total,12th,Heterosexual (straight),Total
Alcohol and Other Drug Use,Other Drug Use,Ever prescription pain medicine use,Ever took prescription pain medicine without a doctor's prescription or differently than how a doctor told them to use it,"counting drugs such as codeine, Vicodin, Oxycontin, Hydrocodone, and Percocet, one or more times during their life",%,Percentage,4.6592,1.3838,14.5433,Never took prescription pain medicine without a doctor's prescription or differently than how a doctor told them to  use it,95.3408,,,85.4567,98.6162,57,Female,Black or African American,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Safety concerns at school,Did not go to school because they felt unsafe at school or on their way to or from school,on at least 1 day during the 30 days before the survey,%,Percentage,4.6618,2.5999,8.221,NULL,95.3382,,,91.779,97.4001,155,Male,Total,12th,Heterosexual (straight),Total
Other Health Topics,Oral Health Care,No oral health care,Never saw a dentist,"for a check-up, exam, teeth cleaning, or other dental work",%,Percentage,4.662,1.9807,10.5811,NULL,95.338,,,89.4189,98.0193,94,Male,Total,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Physical dating violence,Experienced physical dating violence,"being physically hurt on purpose (counting such things as being hit, slammed into something, or injured with an object or weapon) by someone they were dating or going out with, one or more times during the 12 months before the survey, among students who da",%,Percentage,4.6641,2.2276,9.5061,Did not experience physical dating violence,95.3359,,,90.4939,97.7724,191,Total,Total,12th,Heterosexual (straight),Total
Dietary Behaviors,Soda or pop,Soda drinking >= 3 times,"Drank a can, bottle, or glass of soda or pop three or more times per day","such as Coke, Pepsi, or Sprite, not counting diet soda or diet pop, during the 7 days before the survey",%,Percentage,4.6644,2.5572,8.3588,NULL,95.3356,,,91.6412,97.4428,348,Total,Total,12th,Total,Total
Other Health Topics,Oral Health Care,No oral health care,Never saw a dentist,"for a check-up, exam, teeth cleaning, or other dental work",%,Percentage,4.6652,1.692,12.2135,NULL,95.3348,,,87.7865,98.308,57,Total,Black or African American,12th,Total,Opposite sex only
Other Health Topics,Oral Health Care,No oral health care,Never saw a dentist,"for a check-up, exam, teeth cleaning, or other dental work",%,Percentage,4.6746,1.5281,13.4172,NULL,95.3254,,,86.5828,98.4719,56,Female,Black or African American,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Electronic bullying,Were electronically bullied,"counting being bullied through texting, Instagram, Facebook, or other social media, during the 12 months before the survey",%,Percentage,4.6773,1.1637,16.977,Were not electronically bullied,95.3227,,,83.023,98.8363,37,Total,Black or African American,12th,Total,No sexual contact
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Electronic bullying,Were electronically bullied,"counting being bullied through texting, Instagram, Facebook, or other social media, during the 12 months before the survey",%,Percentage,4.697,2.252,9.5374,Were not electronically bullied,95.303,,,90.4626,97.748,109,Total,Total,12th,Total,No sexual contact
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Safety concerns at school,Did not go to school because they felt unsafe at school or on their way to or from school,on at least 1 day during the 30 days before the survey,%,Percentage,4.6994,1.1713,17.0241,NULL,95.3006,,,82.9759,98.8287,41,Male,Hispanic or Latino,12th,Heterosexual (straight),Total
Tobacco Use,Cigarette Use,Initiation of cigarette smoking,First tried cigarette smoking before age 13 years,even one or two puffs,%,Percentage,4.7015,0.7031,25.5786,Did not first try cigarette smoking before age 13 years,95.2985,,,74.4214,99.2969,31,Female,Black or African American,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Bullying at school,Were bullied on school property,during the 12 months before the survey,%,Percentage,4.7024,2.4549,8.8213,Were not bullied on school property,95.2976,,,91.1787,97.5451,200,Total,Total,12th,Total,Opposite sex only
Tobacco Use,Cigarette Use,Current cigarette use,Currently smoked cigarettes,on at least 1 day during the 30 days before the survey,%,Percentage,4.7332,2.3323,9.3688,Did not currently smoke cigarettes,95.2668,,,90.6312,97.6677,120,Total,Black or African American,12th,Total,Total
Tobacco Use,Other Tobacco Use,Current tobacco use,Currently smoked cigarettes or cigars or used smokeless tobacco or an electronic vapor product,on at least 1 day during the 30 days before the survey,%,Percentage,4.7372,2.1428,10.1469,NULL,95.2628,,,89.8531,97.8572,157,Female,Total,12th,Heterosexual (straight),Total
Tobacco Use,Cigarette Use,Initiation of cigarette smoking,First tried cigarette smoking before age 13 years,even one or two puffs,%,Percentage,4.7417,2.5002,8.8109,Did not first try cigarette smoking before age 13 years,95.2583,,,91.1891,97.4998,165,Female,Total,12th,Heterosexual (straight),Total
Alcohol and Other Drug Use,Other Drug Use,Current marijuana use,Currently used marijuana,"also called grass, pot, or weed, one or more times during the 30 days before the survey",%,Percentage,4.7449,1.4748,14.2194,Did not currently use marijuana,95.2551,,,85.7806,98.5252,40,Total,Asian,12th,Heterosexual (straight),Total
Sexual Behaviors,Sexual Behaviors,No birth control use,Did not use any method to prevent pregnancy during last sexual intercourse,among students who were currently sexually active,%,Percentage,4.7481,1.0524,18.9374,NULL,95.2519,,,81.0626,98.9476,33,Total,Black or African American,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Suicide-Related Behaviors,Attempted suicide,Attempted suicide,one or more times during the 12 months before the survey,%,Percentage,4.757,2.1528,10.1834,Did not attempt suicide,95.243,,,89.8166,97.8472,151,Total,Total,12th,Total,Opposite sex only
Dietary Behaviors,Fruit and fruit juices,No fruit consumption,Did not eat fruit or drink 100% fruit juices,"such as orange juice, apple juice, or grape juice, not counting punch, Kool-Aid, sports drinks, or other fruit-flavored drinks, during the 7 days before the survey",%,Percentage,4.7655,2.1992,10.0195,Ate fruit or drank 100% fruit juices,95.2345,,,89.9805,97.8008,193,Total,Total,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Threatened at school,Were threatened or injured with a weapon on school property,"such as a gun, knife, or club, one or more times during the 12 months before the survey",%,Percentage,4.767,1.8188,11.9141,Were not threatened or injured with a weapon on school property,95.233,,,88.0859,98.1812,108,Total,Hispanic or Latino,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Weapon carrying at school,Carried a weapon on school property,"such as a gun, knife, or club, on at least 1 day during the 30 days before the survey",%,Percentage,4.77,0.6564,27.5201,Did not carry a weapon on school property,95.23,,,72.4799,99.3436,36,Total,White,12th,Heterosexual (straight),Total
Dietary Behaviors,Fruit and fruit juices,No fruit consumption,Did not eat fruit or drink 100% fruit juices,"such as orange juice, apple juice, or grape juice, not counting punch, Kool-Aid, sports drinks, or other fruit-flavored drinks, during the 7 days before the survey",%,Percentage,4.7726,1.8422,11.8039,Ate fruit or drank 100% fruit juices,95.2274,,,88.1961,98.1578,132,Male,Total,12th,Heterosexual (straight),Total
Unintentional Injuries and Violence,Behaviors that Contribute to Violence,Physical fighting at school,Were in a physical fight on school property,one or more times during the 12 months before the survey,%,Percentage,4.785,2.2934,9.7142,Were not in a physical fight on school property,95.215,,,90.2858,97.7066,189,Total,Total,12th,Total,Opposite sex only
Dietary Behaviors,Breakfast,Breakfast eating,Did not eat breakfast,during the 7 days before the survey,%,Percentage,4.7851,1.149,17.8502,Ate breakfast on one or more days,95.2149,,,82.1498,98.851,33,Total,Total,12th,"Gay, lesbian, or bisexual",Total
Alcohol and Other Drug Use,Other Drug Use,Initiation of marijuana use,Tried marijuana for the first time before age 13 years,"also called grass, pot, or weed",%,Percentage,4.7929,1.8496,11.8541,Did not try marijuana for the first time before age 13 years,95.2071,,,88.1459,98.1504,99,Female,Total,12th,Total,Opposite sex only
Unintentional Injuries and Violence,Suicide-Related Behaviors,Considered suicide,Seriously considered attempting suicide,during the 12 months before the survey,%,Percentage,4.8002,2.0825,10.6779,Did not seriously consider attempting suicide,95.1998,,,89.3221,97.9175,99,Total,Hispanic or Latino,12th,Heterosexual (straight),Total
